title,authors,year,subject,cover_url,filename
The Silmarillion,J.R.R. Tolkien,1977,fantasy,http://covers.openlibrary.org/b/id/14627042-L.jpg,book_covers\69_The_Silmarillion.jpg
Prince Caspian,C.S. Lewis,1951,fantasy,http://covers.openlibrary.org/b/id/45897-L.jpg,book_covers\70_Prince_Caspian.jpg
Northern Lights,Philip Pullman,1995,fantasy,http://covers.openlibrary.org/b/id/8747028-L.jpg,book_covers\71_Northern_Lights.jpg
Harry Potter and the Half-Blood Prince,"J. K. Rowling, Mary GrandPré",2005,fantasy,http://covers.openlibrary.org/b/id/10716273-L.jpg,book_covers\72_Harry_Potter_and_the_Half-Blood_Prince.jpg
The BFG,Roald Dahl,1980,fantasy,http://covers.openlibrary.org/b/id/9176033-L.jpg,book_covers\73_The_BFG.jpg
Lost Horizon,James Hilton,1933,fantasy,http://covers.openlibrary.org/b/id/4656607-L.jpg,book_covers\74_Lost_Horizon.jpg
Where the Wild Things Are,Maurice Sendak,1600,fantasy,http://covers.openlibrary.org/b/id/50842-L.jpg,book_covers\75_Where_the_Wild_Things_Are.jpg
Little Wizard stories of Oz,L. Frank Baum,1914,fantasy,http://covers.openlibrary.org/b/id/430876-L.jpg,book_covers\76_Little_Wizard_stories_of_Oz.jpg
Harry Potter and the Deathly Hallows,J. K. Rowling,2007,fantasy,http://covers.openlibrary.org/b/id/10110415-L.jpg,book_covers\77_Harry_Potter_and_the_Deathly_Hallows.jpg
The Well at the World's End,William Morris,1896,fantasy,http://covers.openlibrary.org/b/id/2404583-L.jpg,book_covers\78_The_Well_at_the_World's_End.jpg
The Silver Chair,C.S. Lewis,1953,fantasy,http://covers.openlibrary.org/b/id/6950992-L.jpg,book_covers\79_The_Silver_Chair.jpg
The Voyages of Doctor Dolittle,Hugh Lofting,1922,fantasy,http://covers.openlibrary.org/b/id/281218-L.jpg,book_covers\80_The_Voyages_of_Doctor_Dolittle.jpg
Brood of the Witch-Queen,Sax Rohmer,1924,fantasy,http://covers.openlibrary.org/b/id/2011286-L.jpg,book_covers\81_Brood_of_the_Witch-Queen.jpg
Der Kleine Prinz (German),Antoine de Saint-Exupéry,1988,fantasy,http://covers.openlibrary.org/b/id/3259739-L.jpg,book_covers\82_Der_Kleine_Prinz_(German).jpg
