title,authors,year,subject,cover_url,filename,doc_id,dominant_color,surrogate_text
Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet",1844,historical_fiction,http://covers.openlibrary.org/b/id/11929973-L.jpg,book_covers\987_Les_Trois_Mousquetaires.jpg,987,"rgb(11, 9, 10)","Les Trois Mousquetaires Alexandre Dumas, Auguste Maquet historical_fiction 1844 rgb(11, 9, 10)"
The Last of the Mohicans,James Fenimore Cooper,1826,historical_fiction,http://covers.openlibrary.org/b/id/8236937-L.jpg,book_covers\988_The_Last_of_the_Mohicans.jpg,988,"rgb(123, 107, 65)","The Last of the Mohicans James Fenimore Cooper historical_fiction 1826 rgb(123, 107, 65)"
David Copperfield,"Charles Dickens, Francesc Ràfolsen, Mary Sebag-Montefiore, Ginger Roberts Brackett, Manuel Rodríguez Navas y Carrasco., Jose KING",1800,historical_fiction,http://covers.openlibrary.org/b/id/1048892-L.jpg,book_covers\989_David_Copperfield.jpg,989,"rgb(165, 144, 125)","David Copperfield Charles Dickens, Francesc Ràfolsen, Mary Sebag-Montefiore, Ginger Roberts Brackett, Manuel Rodríguez Navas y Carrasco., Jose KING historical_fiction 1800 rgb(165, 144, 125)"
The Prince and the Pauper,Mark Twain,1881,historical_fiction,http://covers.openlibrary.org/b/id/8221267-L.jpg,book_covers\990_The_Prince_and_the_Pauper.jpg,990,"rgb(117, 10, 12)","The Prince and the Pauper Mark Twain historical_fiction 1881 rgb(117, 10, 12)"
Le Comte de Monte Cristo,Alexandre Dumas,1830,historical_fiction,http://covers.openlibrary.org/b/id/14566393-L.jpg,book_covers\991_Le_Comte_de_Monte_Cristo.jpg,991,"rgb(61, 65, 62)","Le Comte de Monte Cristo Alexandre Dumas historical_fiction 1830 rgb(61, 65, 62)"
War and Peace,Лев Толстой,1864,historical_fiction,http://covers.openlibrary.org/b/id/12621906-L.jpg,book_covers\992_War_and_Peace.jpg,992,"rgb(135, 127, 109)","War and Peace Лев Толстой historical_fiction 1864 rgb(135, 127, 109)"
The Red Badge of Courage,Stephen Crane,1855,historical_fiction,http://covers.openlibrary.org/b/id/8236915-L.jpg,book_covers\993_The_Red_Badge_of_Courage.jpg,993,"rgb(111, 98, 77)","The Red Badge of Courage Stephen Crane historical_fiction 1855 rgb(111, 98, 77)"
The Scarlet Letter,Nathaniel Hawthorne,1850,historical_fiction,http://covers.openlibrary.org/b/id/5654516-L.jpg,book_covers\994_The_Scarlet_Letter.jpg,994,"rgb(31, 51, 33)","The Scarlet Letter Nathaniel Hawthorne historical_fiction 1850 rgb(31, 51, 33)"
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1900,historical_fiction,http://covers.openlibrary.org/b/id/479102-L.jpg,book_covers\995_The_Scarlet_Pimpernel.jpg,995,"rgb(102, 116, 84)","The Scarlet Pimpernel Emmuska Orczy, Baroness Orczy historical_fiction 1900 rgb(102, 116, 84)"
Ulysses,James Joyce,1920,historical_fiction,http://covers.openlibrary.org/b/id/13136548-L.jpg,book_covers\996_Ulysses.jpg,996,"rgb(90, 114, 108)","Ulysses James Joyce historical_fiction 1920 rgb(90, 114, 108)"
